127.0.0.1 - - [29/Apr/2019:19:04:04 -0300] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:05 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:07 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:07 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:08 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:08 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:08 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:09 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:09 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:09 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:09 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:10 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:10 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:10 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:10 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:10 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:10 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:11 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:11 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:11 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:11 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:11 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:12 -0300] "GET /lab03listener/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2019:19:04:21 -0300] "GET /lab03listener/destruidorservlet HTTP/1.1" 200 18
